step,loss
1,0.3332078456878662
2,0.3311702013015747
3,0.3084498941898346
4,0.2804029881954193
5,0.2709589898586273
6,0.14522284269332886
7,0.13030701875686646
8,0.10537008196115494
9,0.10961094498634338
10,0.1113760843873024
11,0.1074085533618927
12,0.14743870496749878
13,0.14798861742019653
14,0.09524216502904892
15,0.10720832645893097
16,0.11993692815303802
17,0.16788111627101898
18,0.1492801308631897
19,0.1603507101535797
20,0.16452820599079132
21,0.17894583940505981
22,0.1557597815990448
23,0.15680062770843506
24,0.1546885073184967
25,0.1605125218629837
26,0.16273736953735352
27,0.1462763249874115
28,0.14994099736213684
29,0.14472243189811707
30,0.1370149850845337
31,0.12466374039649963
32,0.14493530988693237
33,0.12963706254959106
34,0.16227690875530243
35,0.13438808917999268
36,0.16537725925445557
37,0.1565016359090805
38,0.1340326964855194
39,0.12160097062587738
40,0.116092249751091
41,0.13250476121902466
42,0.11270350217819214
43,0.11145985126495361
44,0.1057567149400711
45,0.1584186851978302
46,0.1323712319135666
47,0.17200691998004913
48,0.13653066754341125
49,0.12349192798137665
50,0.11816826462745667
51,0.11096584796905518
52,0.12860500812530518
53,0.13739201426506042
54,0.14349745213985443
55,0.1742483675479889
56,0.1126590147614479
57,0.10305612534284592
58,0.10350672900676727
59,0.11219967901706696
60,0.1505921185016632
61,0.0933445394039154
62,0.11382394284009933
63,0.15201006829738617
64,0.16594359278678894
65,0.16218535602092743
66,0.11273815482854843
67,0.10408839583396912
68,0.10479512810707092
69,0.1693228781223297
70,0.17208701372146606
71,0.11439970135688782
72,0.14827409386634827
73,0.15855228900909424
74,0.1074180006980896
75,0.1089850664138794
76,0.09624218940734863
77,0.12896943092346191
78,0.11223511397838593
79,0.18613256514072418
80,0.11536963284015656
81,0.10413523018360138
82,0.09340856969356537
83,0.11455315351486206
84,0.08081836253404617
85,0.09387320280075073
86,0.14976851642131805
87,0.12208571285009384
88,0.17477667331695557
89,0.1134568303823471
90,0.11076195538043976
91,0.124193474650383
92,0.1400604397058487
93,0.10912114381790161
94,0.12254934012889862
95,0.1803949475288391
96,0.14828141033649445
97,0.10861043632030487
98,0.12104974687099457
99,0.17943429946899414
100,0.09446346759796143
101,0.11925442516803741
102,0.16384103894233704
103,0.12723037600517273
104,0.1228909119963646
105,0.16618257761001587
106,0.11293521523475647
107,0.12089395523071289
108,0.1310700923204422
109,0.11338821053504944
110,0.17851635813713074
111,0.14432990550994873
112,0.11284641921520233
113,0.12536972761154175
114,0.08477987349033356
115,0.08111421763896942
116,0.1985107958316803
117,0.1333974152803421
118,0.10595721006393433
119,0.12694810330867767
120,0.15067899227142334
121,0.15630990266799927
122,0.13247773051261902
123,0.09818226099014282
